Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
N.A.,JALAN JURONG KECHIL,Shop House,"4,300,000","1,247.55","3,447",Mar-25,Land,115.9,"37,101",Freehold,21,-
BINJAI PARK,BINJAI PARK,Shop House,"3,850,000","1,334.74","2,884",Nov-24,Strata,124,"31,048",999 yrs lease commencing from 1875,21,-
ENG KONG PARK,ENG KONG TERRACE,Shop House,"3,928,000","1,520.95","2,583",Jul-24,Land,141.3,"27,799",Freehold,21,-
THE RAIL MALL,UPPER BUKIT TIMAH ROAD,Shop House,"78,500,000","105,562.55",744,Jun-24,Land,"9,807","8,004",99 yrs lease commencing from 1947,23,-
MAYFAIR PARK,RIFLE RANGE ROAD,Shop House,"1,250,000","1,097.93","1,139",Jun-24,Strata,102,"12,255",99 yrs lease commencing from 1952,21,-
ENG KONG PARK,ENG KONG TERRACE,Shop House,"4,380,000","1,517.72","2,886",Apr-24,Land,141,"31,064",Freehold,21,-
ENG KONG PARK,ENG KONG TERRACE,Shop House,"3,900,000","1,520.95","2,564",Oct-23,Land,141.3,"27,601",Freehold,21,-
N.A.,JALAN BINGKA,Shop House,"850,000","1,097.93",774,May-23,Strata,102,"8,333",99 yrs lease commencing from 1952,21,-
MAYFAIR PARK,JALAN BINGKA,Shop House,"900,000","1,054.87",853,May-22,Strata,98,"9,184",98 yrs lease commencing from 1952,21,-
ENG KONG PARK,ENG KONG TERRACE,Shop House,"3,780,000","1,526.34","2,477",Jul-21,Land,141.8,"26,657",Freehold,21,-
